id,modulo,caso de la matriz,estatus en la matriz,automatizado,prueba,que valida el codigo,etiquetas,comando,motivo si falta
PF_CP_015,Expediente pantalla usuario,Validar Campo Apellidos,No Ejecutado,si,UsuariosValidacionesPruebas#elCampoDebePermitir35Caracteres ; UsuariosValidacionesPruebas#elCampoNoDebePermitirNumerosNiEspeciales ; UsuariosValidacionesPruebas#elCampoVacioNoDebePermitirGuardar,Maximo de 35 caracteres por campo,"validaciones, usuarios",mvn test -Dtest='UsuariosValidacionesPruebas#elCampoDebePermitir35Caracteres',
PF_CP_016,Expediente pantalla usuario,Validar Campo Cargo,No Ejecutado,si,UsuariosValidacionesPruebas#elCampoDebePermitir35Caracteres ; UsuariosValidacionesPruebas#elCampoNoDebePermitirNumerosNiEspeciales ; UsuariosValidacionesPruebas#elCampoVacioNoDebePermitirGuardar,Maximo de 35 caracteres por campo,"validaciones, usuarios",mvn test -Dtest='UsuariosValidacionesPruebas#elCampoDebePermitir35Caracteres',
PF_CP_017,Expediente pantalla usuario,Validar Campo Correo Electrónico,No Ejecutado,si,UsuariosValidacionesPruebas#pfCp017CampoCorreoElectronico,El correo electronico exige formato de correo,"validaciones, usuarios",mvn test -Dtest='UsuariosValidacionesPruebas#pfCp017CampoCorreoElectronico',
PF_CP_018,Expediente pantalla usuario,Validar Campo Teléfono Móvil,No Ejecutado,si,UsuariosValidacionesPruebas#pfCp018TelefonoMovil,Telefono movil solo 10 caracteres numericos,"validaciones, usuarios, defecto_conocido",mvn test -Dtest='UsuariosValidacionesPruebas#pfCp018TelefonoMovil',
PF_CP_019,Expediente pantalla usuario,Validar Campo Teléfono Fijo,No Ejecutado,si,UsuariosValidacionesPruebas#pfCp019TelefonoFijo,Telefono fijo solo 10 caracteres numericos,"validaciones, usuarios",mvn test -Dtest='UsuariosValidacionesPruebas#pfCp019TelefonoFijo',
PF_CP_020,Expediente pantalla usuario,Validación de la funcionalidad del botón Guardar registro,No Ejecutado,si,UsuariosAltasPruebas#pfCp020GuardarRegistroDeUsuario,Guardar registro da de alta al usuario y la tabla lo muestra activo,"ola5, usuarios, escribe_datos",mvn test -Dtest='UsuariosAltasPruebas#pfCp020GuardarRegistroDeUsuario',
PF_CP_021,Expediente pantalla usuario,Validación de la funcionalidad del botón Cancelar,No Ejecutado,si,UsuariosValidacionesPruebas#pfCp021BotonCancelar,Cancelar regresa a la pantalla de Usuarios sin guardar,"validaciones, usuarios",mvn test -Dtest='UsuariosValidacionesPruebas#pfCp021BotonCancelar',
PF_CP_022,Expediente pantalla usuario,Validar descargar Layout,No Ejecutado,si,DescargasPruebas#descargarElLayoutDeCargaMasiva,El layout de carga masiva trae las columnas de la matriz,"descargas, defecto_conocido",mvn test -Dtest='DescargasPruebas#descargarElLayoutDeCargaMasiva',
PF_CP_023,Expediente pantalla usuario,Validación de la funcionalidad del botón Carga masiva de usuarios,No Ejecutado,no,,,,,Carga masiva: falta el layout oficial valido.
PF_CP_024,Expediente pantalla usuario,,,no,,,,,Carga masiva: falta el layout oficial invalido.
PF_CP_025,Expediente pantalla usuario,,,no,,,,,Carga masiva: falta el layout oficial invalido.
PF_CP_026,Expediente pantalla usuario,,,si,UsuariosConsultasPruebas#pfCp026ActualizarLaTabla,El boton Actualizar tabla recarga la tabla de usuarios,"consultas, usuarios",mvn test -Dtest='UsuariosConsultasPruebas#pfCp026ActualizarLaTabla',
PF_CP_027,Expediente pantalla usuario,,,si,DescargasPruebas#exportarUsuariosAExcel,Exportar a excel descarga la tabla de usuarios,descargas,mvn test -Dtest='DescargasPruebas#exportarUsuariosAExcel',
PF_CP_028,Expediente pantalla usuario,,,si,UsuariosConsultasPruebas#pfCp028FiltrarPorNombre ; UsuariosConsultasPruebas#pfCp028FiltrarPorCorreo ; UsuariosConsultasPruebas#pfCp028FiltrarPorRol ; UsuariosConsultasPruebas#pfCp028FiltrarPorEstatus,El filtro de usuarios busca por nombre,"consultas, usuarios",mvn test -Dtest='UsuariosConsultasPruebas#pfCp028FiltrarPorNombre',
PF_CP_029,Expediente pantalla usuario,,,si,UsuariosConsultasPruebas#pfCp029LimpiarLosFiltros,El boton Limpiar borra los cuatro filtros de usuarios,"consultas, usuarios",mvn test -Dtest='UsuariosConsultasPruebas#pfCp029LimpiarLosFiltros',
PF_CP_030,Expediente pantalla usuario,,,si,UsuariosConsultasPruebas#pfCp030VerDetalleDelUsuario,Ver detalle muestra los datos del usuario,"consultas, usuarios",mvn test -Dtest='UsuariosConsultasPruebas#pfCp030VerDetalleDelUsuario',
PF_CP_031,Expediente pantalla usuario,,,no,,,,,Repite PF_CP_012 (duplicado en la matriz).
PF_CP_032,Expediente pantalla usuario,,,no,,,,,Repite PF_CP_013 (duplicado en la matriz).
PF_CP_033,Expediente pantalla usuario,,,no,,,,,Repite PF_CP_014 (duplicado en la matriz).
PF_CP_034,Expediente pantalla usuario,,,no,,,,,Repite PF_CP_015 (duplicado en la matriz).
PF_CP_035,Expediente pantalla usuario,,,no,,,,,Repite PF_CP_016 (duplicado en la matriz).
PF_CP_036,Expediente pantalla usuario,,,no,,,,,Repite PF_CP_017 (duplicado en la matriz).
PF_CP_037,Expediente pantalla usuario,,,no,,,,,Repite PF_CP_018 (duplicado en la matriz).
PF_CP_038,Expediente pantalla usuario,,,no,,,,,Repite PF_CP_019 (duplicado en la matriz).
PF_CP_039,Expediente pantalla usuario,Validar la modificación de datos en detalles de usuario,No Ejecutado,si,UsuariosAltasPruebas#pfCp039DetalleDelUsuario,"Detalle del usuario: editar datos, generar contraseña y cancelar","ola5, usuarios, escribe_datos",mvn test -Dtest='UsuariosAltasPruebas#pfCp039DetalleDelUsuario',
PF_CP_040,Expediente pantalla usuario,Validación del botón generar contraseña sobre el detalle de información de usuario,No Ejecutado,si,UsuariosAltasPruebas#pfCp039DetalleDelUsuario,"Detalle del usuario: editar datos, generar contraseña y cancelar","ola5, usuarios, escribe_datos",mvn test -Dtest='UsuariosAltasPruebas#pfCp039DetalleDelUsuario',
PF_CP_041,Expediente pantalla usuario,Validación del boton de cancelar,No Ejecutado,si,UsuariosAltasPruebas#pfCp039DetalleDelUsuario,"Detalle del usuario: editar datos, generar contraseña y cancelar","ola5, usuarios, escribe_datos",mvn test -Dtest='UsuariosAltasPruebas#pfCp039DetalleDelUsuario',
PF_CP_042,Expediente pantalla usuario,Validar botón Desactivar,No Ejecutado,si,UsuariosAltasPruebas#pfCp042DesactivarYActivarUsuario,Desactivar un usuario (aceptar y cancelar el modal) y volver a activarlo,"ola5, usuarios, escribe_datos",mvn test -Dtest='UsuariosAltasPruebas#pfCp042DesactivarYActivarUsuario',
PF_CP_043,Expediente pantalla usuario,Tap botón Aceptar,No Ejecutado,si,UsuariosAltasPruebas#pfCp042DesactivarYActivarUsuario,Desactivar un usuario (aceptar y cancelar el modal) y volver a activarlo,"ola5, usuarios, escribe_datos",mvn test -Dtest='UsuariosAltasPruebas#pfCp042DesactivarYActivarUsuario',
PF_CP_044,Expediente pantalla usuario,Tap botón Cancelar,No Ejecutado,si,UsuariosAltasPruebas#pfCp042DesactivarYActivarUsuario,Desactivar un usuario (aceptar y cancelar el modal) y volver a activarlo,"ola5, usuarios, escribe_datos",mvn test -Dtest='UsuariosAltasPruebas#pfCp042DesactivarYActivarUsuario',
PF_CP_045,Expediente pantalla usuario,Validar botón Activar usuario,No Ejecutado,si,UsuariosAltasPruebas#pfCp042DesactivarYActivarUsuario,Desactivar un usuario (aceptar y cancelar el modal) y volver a activarlo,"ola5, usuarios, escribe_datos",mvn test -Dtest='UsuariosAltasPruebas#pfCp042DesactivarYActivarUsuario',
PF_CP_046,Expediente pantalla catalogos,Validación de la pantalla del menú Catálogos,No Ejecutado,si,CatalogosPruebas#pfCp046LaListaMuestraLosCatalogosEsperados ; NavegacionPruebas#pfCp046MenuCatalogos,La lista muestra todos los catalogos esperados,"catalogos, humo",mvn test -Dtest='CatalogosPruebas#pfCp046LaListaMuestraLosCatalogosEsperados',
PF_CP_047,Expediente pantalla Catálogos - Nacionalidades,Validación de la pantalla del menú Catálogos - Nacionalidades,No Ejecutado,si,CatalogosConsultasPruebas#laPantallaDelCatalogoMuestraSuTabla ; CatalogosPruebas#cadaCatalogoMuestraSuTabla,Pantalla del catalogo con su boton Agregar elemento y su tabla,consultas,mvn test -Dtest='CatalogosConsultasPruebas#laPantallaDelCatalogoMuestraSuTabla',
PF_CP_048,Expediente pantalla Catálogos - Nacionalidades,Validación del botón agregar elemento del menú de catálogos - nacionalidades,No Ejecutado,si,CatalogosAltasPruebas#nacionalidades,"Nacionalidades: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#nacionalidades',
PF_CP_049,Expediente pantalla Catálogos - Nacionalidades,Validar Numero de caracteres,No Ejecutado,si,CatalogosConsultasPruebas#elCampoDelCatalogoRespetaSuMaximo,Maximo de caracteres del alta del catalogo,consultas,mvn test -Dtest='CatalogosConsultasPruebas#elCampoDelCatalogoRespetaSuMaximo',
PF_CP_050,Expediente pantalla Catálogos - Nacionalidades,Validación del botón ver detalle del menú de catálogos - nacionalidades,No Ejecutado,si,CatalogosConsultasPruebas#elDetalleDelCatalogoMuestraSusDatos,"Ver detalle del catalogo con sus campos, EDITAR DATOS y la X",consultas,mvn test -Dtest='CatalogosConsultasPruebas#elDetalleDelCatalogoMuestraSusDatos',
PF_CP_051,Expediente pantalla Catálogos - Nacionalidades,Validación de la edición de alguna nacionalidad sobre el detalle del menú de catálogos - nacionalidades,No Ejecutado,si,CatalogosAltasPruebas#nacionalidades,"Nacionalidades: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#nacionalidades',
PF_CP_052,Expediente pantalla Catálogos - Nacionalidades,Validación de la funcinalidad del botón inactivar,No Ejecutado,si,CatalogosAltasPruebas#nacionalidades,"Nacionalidades: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#nacionalidades',
PF_CP_053,Expediente pantalla Catálogos - Nacionalidades,Validación de la funcinalidad del botón activar registro,No Ejecutado,si,CatalogosAltasPruebas#nacionalidades,"Nacionalidades: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#nacionalidades',
PF_CP_054,Expediente pantalla Catálogos - Profesiones,Validación de la pantalla del menú Catálogos - Profesiones,No Ejecutado,si,CatalogosConsultasPruebas#laPantallaDelCatalogoMuestraSuTabla ; CatalogosPruebas#cadaCatalogoMuestraSuTabla,Pantalla del catalogo con su boton Agregar elemento y su tabla,consultas,mvn test -Dtest='CatalogosConsultasPruebas#laPantallaDelCatalogoMuestraSuTabla',
PF_CP_055,Expediente pantalla Catálogos - Profesiones,Validación del botón agregar elemento del menú de catálogos - Profesiones,No Ejecutado,si,CatalogosAltasPruebas#profesiones,"Profesiones: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#profesiones',
PF_CP_056,Expediente pantalla Catálogos - Profesiones,Validar Numero de caracteres,No Ejecutado,si,CatalogosConsultasPruebas#elCampoDelCatalogoRespetaSuMaximo,Maximo de caracteres del alta del catalogo,consultas,mvn test -Dtest='CatalogosConsultasPruebas#elCampoDelCatalogoRespetaSuMaximo',
PF_CP_057,Expediente pantalla Catálogos - Profesiones,Validación del botón ver detalle del menú de catálogos - Profesiones,No Ejecutado,si,CatalogosConsultasPruebas#elDetalleDelCatalogoMuestraSusDatos,"Ver detalle del catalogo con sus campos, EDITAR DATOS y la X",consultas,mvn test -Dtest='CatalogosConsultasPruebas#elDetalleDelCatalogoMuestraSusDatos',
PF_CP_058,Expediente pantalla Catálogos - Profesiones,Validación de la edición de alguna Profesiones sobre el detalle del menú de catálogos - Profesiones,No Ejecutado,si,CatalogosAltasPruebas#profesiones,"Profesiones: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#profesiones',
PF_CP_059,Expediente pantalla Catálogos - Profesiones,Validación de la funcinalidad del botón inactivar,No Ejecutado,si,CatalogosAltasPruebas#profesiones,"Profesiones: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#profesiones',
PF_CP_060,Expediente pantalla Catálogos - Profesiones,Validación de la funcinalidad del botón activar registro,No Ejecutado,si,CatalogosAltasPruebas#profesiones,"Profesiones: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#profesiones',
PF_CP_061,Expediente pantalla Catálogos - Campaña,Validación de la pantalla del menú Catálogos - Campaña,No Ejecutado,si,CatalogosConsultasPruebas#laPantallaDelCatalogoMuestraSuTabla ; CatalogosPruebas#cadaCatalogoMuestraSuTabla,Pantalla del catalogo con su boton Agregar elemento y su tabla,consultas,mvn test -Dtest='CatalogosConsultasPruebas#laPantallaDelCatalogoMuestraSuTabla',
PF_CP_062,Expediente pantalla Catálogos - Campaña,Validación del botón agregar elemento del menú de catálogos - Campaña,No Ejecutado,si,CatalogosAltasPruebas#campana,"Campaña: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#campana',
PF_CP_063,Expediente pantalla Catálogos - Campaña,Validar Numero de caracteres campo Codigo,No Ejecutado,si,CatalogosConsultasPruebas#pfCp063MaximoDelCodigoDeCampana,El campo Codigo de Campaña acepta como maximo 250 caracteres,"consultas, defecto_conocido",mvn test -Dtest='CatalogosConsultasPruebas#pfCp063MaximoDelCodigoDeCampana',
PF_CP_064,Expediente pantalla Catálogos - Campaña,Validar Numero de caracteres campo promotor,No Ejecutado,si,CatalogosConsultasPruebas#elCampoDelCatalogoRespetaSuMaximo,Maximo de caracteres del alta del catalogo,consultas,mvn test -Dtest='CatalogosConsultasPruebas#elCampoDelCatalogoRespetaSuMaximo',
PF_CP_065,Expediente pantalla Catálogos - Campaña,Validación del botón ver detalle del menú de catálogos - Campaña,No Ejecutado,si,CatalogosConsultasPruebas#elDetalleDelCatalogoMuestraSusDatos,"Ver detalle del catalogo con sus campos, EDITAR DATOS y la X",consultas,mvn test -Dtest='CatalogosConsultasPruebas#elDetalleDelCatalogoMuestraSusDatos',
PF_CP_066,Expediente pantalla Catálogos - Campaña,Validación de la edición de alguna Campaña sobre el detalle del menú de catálogos - Campaña,No Ejecutado,si,CatalogosAltasPruebas#campana,"Campaña: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#campana',
PF_CP_067,Expediente pantalla Catálogos - Campaña,Validación de la funcinalidad del botón inactivar,No Ejecutado,si,CatalogosAltasPruebas#campana,"Campaña: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#campana',
PF_CP_068,Expediente pantalla Catálogos - Campaña,Validación de la funcinalidad del botón activar registro,No Ejecutado,si,CatalogosAltasPruebas#campana,"Campaña: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#campana',
PF_CP_069,Expediente pantalla Catálogos - Codigo de pais,Validación de la pantalla del menú Catálogos - Codigo de pais,No Ejecutado,si,CatalogosConsultasPruebas#laPantallaDelCatalogoMuestraSuTabla ; CatalogosPruebas#cadaCatalogoMuestraSuTabla,Pantalla del catalogo con su boton Agregar elemento y su tabla,consultas,mvn test -Dtest='CatalogosConsultasPruebas#laPantallaDelCatalogoMuestraSuTabla',
PF_CP_070,Expediente pantalla Catálogos - Codigo de pais,Validación del botón agregar elemento del menú de catálogos - Codigo de pais,No Ejecutado,si,CatalogosAltasPruebas#codigoDePais,"Codigo de pais: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#codigoDePais',
PF_CP_071,Expediente pantalla Catálogos - Codigo de pais,Validar Numero de caracteres campo Codigo,No Ejecutado,si,CatalogosConsultasPruebas#pfCp071MaximoDelCodigoDePais,El campo Codigo de Codigo de pais acepta 100 caracteres,"consultas, regla_por_confirmar",mvn test -Dtest='CatalogosConsultasPruebas#pfCp071MaximoDelCodigoDePais',
PF_CP_072,Expediente pantalla Catálogos - Codigo de pais,Validación del botón ver detalle del menú de catálogos - Codigo de pais,No Ejecutado,si,CatalogosConsultasPruebas#elDetalleDelCatalogoMuestraSusDatos,"Ver detalle del catalogo con sus campos, EDITAR DATOS y la X",consultas,mvn test -Dtest='CatalogosConsultasPruebas#elDetalleDelCatalogoMuestraSusDatos',
PF_CP_073,Expediente pantalla Catálogos - Codigo de pais,Validación de la edición de algun codigo de pais sobre el detalle del menú de catálogos - Codigo de pais,No Ejecutado,si,CatalogosAltasPruebas#codigoDePais,"Codigo de pais: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#codigoDePais',
PF_CP_074,Expediente pantalla Catálogos - Codigo de pais,Validación de la funcinalidad del botón inactivar,No Ejecutado,si,CatalogosAltasPruebas#codigoDePais,"Codigo de pais: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#codigoDePais',
PF_CP_075,Expediente pantalla Catálogos - Codigo de pais,Validación de la funcinalidad del botón activar registro,No Ejecutado,si,CatalogosAltasPruebas#codigoDePais,"Codigo de pais: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#codigoDePais',
PF_CP_076,Expediente pantalla Catálogos - Productos,Validación de la pantalla del menú Catálogos - Productos,No Ejecutado,si,CatalogosConsultasPruebas#laPantallaDelCatalogoMuestraSuTabla ; CatalogosPruebas#cadaCatalogoMuestraSuTabla,Pantalla del catalogo con su boton Agregar elemento y su tabla,consultas,mvn test -Dtest='CatalogosConsultasPruebas#laPantallaDelCatalogoMuestraSuTabla',
PF_CP_077,Expediente pantalla Catálogos - Productos,Validación del botón agregar elemento del menú de catálogos - Productos,No Ejecutado,si,CatalogosAltasPruebas#productos,"Productos: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#productos',
PF_CP_078,Expediente pantalla Catálogos - Productos,Validar Numero de caracteres campo Nombre,No Ejecutado,si,CatalogosConsultasPruebas#elCampoDelCatalogoRespetaSuMaximo,Maximo de caracteres del alta del catalogo,consultas,mvn test -Dtest='CatalogosConsultasPruebas#elCampoDelCatalogoRespetaSuMaximo',
PF_CP_079,Expediente pantalla Catálogos - Productos,Validar Numero de caracteres campo Codigo,No Ejecutado,si,CatalogosConsultasPruebas#pfCp079MaximoDelCodigoDeProductos,El campo Codigo de Productos acepta 10 caracteres,consultas,mvn test -Dtest='CatalogosConsultasPruebas#pfCp079MaximoDelCodigoDeProductos',
PF_CP_080,Expediente pantalla Catálogos - Productos,Validar Numero de caracteres campo Link,No Ejecutado,si,CatalogosConsultasPruebas#elCampoDelCatalogoRespetaSuMaximo,Maximo de caracteres del alta del catalogo,consultas,mvn test -Dtest='CatalogosConsultasPruebas#elCampoDelCatalogoRespetaSuMaximo',
PF_CP_081,Expediente pantalla Catálogos - Productos,Validación del botón ver detalle del menú de catálogos - Productos,No Ejecutado,si,CatalogosConsultasPruebas#elDetalleDelCatalogoMuestraSusDatos,"Ver detalle del catalogo con sus campos, EDITAR DATOS y la X",consultas,mvn test -Dtest='CatalogosConsultasPruebas#elDetalleDelCatalogoMuestraSusDatos',
PF_CP_082,Expediente pantalla Catálogos - Productos,Validación de la edición de alguna Producto sobre el detalle del menú de catálogos - Productos,No Ejecutado,si,CatalogosAltasPruebas#productos,"Productos: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#productos',
PF_CP_083,Expediente pantalla Catálogos - Productos,Validación de la funcinalidad del botón inactivar,No Ejecutado,si,CatalogosAltasPruebas#productos,"Productos: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#productos',
PF_CP_084,Expediente pantalla Catálogos - Productos,Validación de la funcinalidad del botón activar registro,No Ejecutado,si,CatalogosAltasPruebas#productos,"Productos: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#productos',
PF_CP_085,Expediente pantalla Catálogos - Dias festivos,Validación de la pantalla del menú Catálogos - Dias festivos,No Ejecutado,si,CatalogosConsultasPruebas#laPantallaDelCatalogoMuestraSuTabla ; CatalogosPruebas#cadaCatalogoMuestraSuTabla,Pantalla del catalogo con su boton Agregar elemento y su tabla,consultas,mvn test -Dtest='CatalogosConsultasPruebas#laPantallaDelCatalogoMuestraSuTabla',
PF_CP_086,Expediente pantalla Catálogos - Dias festivos,Validación del botón agregar elemento del menú de catálogos - Dias festivos,No Ejecutado,si,CatalogosAltasPruebas#diasFestivos,"Dias festivos: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#diasFestivos',
PF_CP_087,Expediente pantalla Catálogos - Dias festivos,Validar Numero de caracteres campo Fecha,No Ejecutado,si,CatalogosConsultasPruebas#pfCp087DigitosDelDiaFestivo,El dia festivo acepta 8 digitos con formato dd/mm/aaaa,consultas,mvn test -Dtest='CatalogosConsultasPruebas#pfCp087DigitosDelDiaFestivo',
PF_CP_088,Expediente pantalla Catálogos - Dias festivos,Validar Botón calendario,No Ejecutado,si,CatalogosConsultasPruebas#pfCp088CalendarioDeDiasFestivos,El calendario de Dias festivos solo habilita de hoy en adelante,consultas,mvn test -Dtest='CatalogosConsultasPruebas#pfCp088CalendarioDeDiasFestivos',
PF_CP_089,Expediente pantalla Catálogos - Dias festivos,Validación del botón ver detalle del menú de catálogos - Dias festivos,No Ejecutado,si,CatalogosConsultasPruebas#elDetalleDelCatalogoMuestraSusDatos,"Ver detalle del catalogo con sus campos, EDITAR DATOS y la X",consultas,mvn test -Dtest='CatalogosConsultasPruebas#elDetalleDelCatalogoMuestraSusDatos',
PF_CP_090,Expediente pantalla Catálogos - Dias festivos,Validación de la edición de alguna nacionalidad sobre el detalle del menú de catálogos - Dias festivos,No Ejecutado,si,CatalogosAltasPruebas#diasFestivos,"Dias festivos: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#diasFestivos',
PF_CP_091,Expediente pantalla Catálogos - Dias festivos,Validación de la funcinalidad del botón inactivar,No Ejecutado,si,CatalogosAltasPruebas#diasFestivos,"Dias festivos: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#diasFestivos',
PF_CP_092,Expediente pantalla Catálogos - Dias festivos,Validación de la funcinalidad del botón activar registro,No Ejecutado,si,CatalogosAltasPruebas#diasFestivos,"Dias festivos: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#diasFestivos',
PF_CP_093,Expediente pantalla Catálogos - Versiones,Validación de la pantalla del menú Catálogos - Versiones,No Ejecutado,si,CatalogosConsultasPruebas#laPantallaDelCatalogoMuestraSuTabla ; CatalogosPruebas#cadaCatalogoMuestraSuTabla,Pantalla del catalogo con su boton Agregar elemento y su tabla,consultas,mvn test -Dtest='CatalogosConsultasPruebas#laPantallaDelCatalogoMuestraSuTabla',
PF_CP_094,Expediente pantalla Catálogos - Versiones,Validación del botón agregar elemento del menú de catálogos - Versiones,No Ejecutado,si,CatalogosAltasPruebas#versiones,"Versiones: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#versiones',
