modulo,id,nombre,pasos,esperado,estatus
Expediente pantalla usuario,PF_CP_013,Validar campo Tipo de usuario,"1.- Seleccionar el botón Usuarios, de la parte izquierda de la pantalla 2.- Seleccionar el boton de agregar usuario 3.- Click en campo Tipo de usuario",Validar que se muestre solo la opción -Administrador Apex -Supervisor AXP -Usuario AXP -Supervisor Agencia -Usuario Agencia,No Ejecutado
Expediente pantalla usuario,PF_CP_014,Validar Campo Nombres,"1.- Seleccionar el botón Usuarios, de la parte izquierda de la pantalla 2.- Seleccionar el boton de agregar usuario 3.- Click campo Nombres",Validar que permita -35 caracteres maximo -1 caracter Minimo -No permite caracteres numericos y especiales,No Ejecutado
Expediente pantalla usuario,PF_CP_015,Validar Campo Apellidos,"1.- Seleccionar el botón Usuarios, de la parte izquierda de la pantalla 2.- Seleccionar el boton de agregar usuario 3.- Click campo Apellidos",Validar que permita -35 caracteres maximo -1 caracter Minimo -No permite caracteres numericos y especiales,No Ejecutado
Expediente pantalla usuario,PF_CP_016,Validar Campo Cargo,"1.- Seleccionar el botón Usuarios, de la parte izquierda de la pantalla 2.- Seleccionar el boton de agregar usuario 3.- Click campo Cargo",Validar que permita -35 caracteres maximo -1 caracter Minimo -No permite caracteres numericos y especiales,No Ejecutado
Expediente pantalla usuario,PF_CP_017,Validar Campo Correo Electrónico,"1.- Seleccionar el botón Usuarios, de la parte izquierda de la pantalla 2.- Seleccionar el boton de agregar usuario 3.- Click Correo Electrónico",Validar que permita -Solo perimta el formato de correo Ejem: QA@QA.COM,No Ejecutado
Expediente pantalla usuario,PF_CP_018,Validar Campo Teléfono Móvil,"1.- Seleccionar el botón Usuarios, de la parte izquierda de la pantalla 2.- Seleccionar el boton de agregar usuario 3.- Click Teléfono Móvil",Validar que permita -Solo 10 numeros -Caracteres numericos -No permita caracteres alfabeticos y especiales,No Ejecutado
Expediente pantalla usuario,PF_CP_019,Validar Campo Teléfono Fijo,"1.- Seleccionar el botón Usuarios, de la parte izquierda de la pantalla 2.- Seleccionar el boton de agregar usuario 3.- Click Teléfono Fijo",Validar que permita -Solo 10 numeros -Caracteres numericos -No permita caracteres alfabeticos y especiales,No Ejecutado
Expediente pantalla usuario,PF_CP_020,Validación de la funcionalidad del botón Guardar registro,"1.- Seleccionar el botón Usuarios, de la parte izquierda de la pantalla 2.- Seleccionar el boton de agregar usuario 3.- Llenar la informacion 4.- Tap en Guardar registro","Muestra un popup indicando:Usuario creado exitosamente Usuario: *** Se ha enviado un correo a ** para que genere su nueva contraseña y pueda ingresar al sistema. botón aceptar. En la pantalla de usuarios se debe ver reflejado en la tabla, el usuario creado",No Ejecutado
Expediente pantalla usuario,PF_CP_021,Validación de la funcionalidad del botón Cancelar,"1.- Seleccionar el botón Usuarios, de la parte izquierda de la pantalla 2.- Seleccionar el boton de agregar usuario 3.- Llenar la informacion 4.- Tap en Cancelar",Muestra la pantalla de Usuario sin el usuario que se intentó agregar en la tabla de información,No Ejecutado
Expediente pantalla usuario,PF_CP_022,Validar descargar Layout,1.- Seleccionar el botón Carga masiva de usuarios 2.- Dar click sobre el botón de descargar layout 3.-Abrir el documento,Validar que el formato este correcto -Nombre -Apellido -Email -Número de empleado -Cargo -Código de país -Teléfono móvil -Teléfono Fijo -Rol -Campaña(s),No Ejecutado
Expediente pantalla usuario,PF_CP_023,Validación de la funcionalidad del botón Carga masiva de usuarios,1.- Seleccionar el botón Carga masiva de usuarios 2.- Dar click sobre el botón de descargar layout 3.-Realizar el llenado de layout de forma correcta 4.- Cargar documento 5.- Presionar el botón continuar,"Muestra la pantalla de datos cargados con éxito, muestra la información de registro totales,registros aceptados, registros con error y el botón aceptar",No Ejecutado
Expediente pantalla usuario,PF_CP_024,,1.- Seleccionar el botón Carga masiva de usuarios 2.- Dar click sobre el botón de descargar layout 3.-Realizar el llenado de layout de forma incorrecta 4.- Cargar documento 5.- Presionar el botón continuar,Muestra la pantalla de layout incorrecto,
Expediente pantalla usuario,PF_CP_025,,1.- Seleccionar el botón Carga masiva de usuarios 2.- Dar click sobre el botón de descargar layout 3.-Realizar el llenado de layout de forma correcta 4.- Cargar documento 5.- Presionar el botón Cancelar,Muestra la pantalla de Usuario,
Expediente pantalla usuario,PF_CP_026,,1.- Seleccionar el botón Actualiza tabala,Realiza la actualización de información de la tabla de usuarios,
Expediente pantalla usuario,PF_CP_027,,1.- Seleccionar el botón Exportar a excel,Muestra el archivo de excel con toda la información de la tabla de usuarios con: -Número de empleado -Nombre -Apellidos -Correo electrónico -Rol -Estatus -Campañas,
Expediente pantalla usuario,PF_CP_028,,"1.- Seleccionar el botón Filtrar 2.- Seleccionar el filtro que se desea agregar, ya sea por nombre, correo electrónico, rol o estatus 3.- Presionar el botón buscar",Realiza el filtro que se aplicó en los campos,
Expediente pantalla usuario,PF_CP_029,,"1.- Seleccionar el botón Filtrar 2.- Seleccionar el filtro que se desea agregar, ya sea por nombre, correo electrónico, rol o estatus 3.- Presionar el botón limpiar",Realiza el limpiado de los filtros que se aplicarón en los campos,
Expediente pantalla usuario,PF_CP_030,,1.- Seleccionar el ícono de un ojito (ver detalle) de algún usuario,"Muestra el detalle del usuario: Activo: Ultimo Acceso: Fecha de Creación: Area Tipo de usuario Número de empleado Nombre(s) Apellidos Cargo Correo electrónico Código de país Teléfono móvil (10 dígitos) Teléfono fijo Muestra los botones de editar datos, generar contraseña, cancelar. En caso de no contar con alguno de estos datos se omitira el dato y no sera visible",
Expediente pantalla usuario,PF_CP_031,,"1.- Seleccionar el botón Usuarios, de la parte izquierda de la pantalla 2.- Seleccionar el boton de agregar usuario 3.- Click en campo Area",Validar que se muestre solo la opción -Ventas,
Expediente pantalla usuario,PF_CP_032,,"1.- Seleccionar el botón Usuarios, de la parte izquierda de la pantalla 2.- Seleccionar el boton de agregar usuario 3.- Click en campo Tipo de usuario",Validar que se muestre solo la opción -Administrador Apex -Supervisor AXP -Usuario AXP -Supervisor Agencia -Usuario Agencia,
Expediente pantalla usuario,PF_CP_033,,"1.- Seleccionar el botón Usuarios, de la parte izquierda de la pantalla 2.- Seleccionar el boton de agregar usuario 3.- Click campo Nombres",Validar que permita -35 caracteres maximo -1 caracter Minimo -No permite caracteres numericos y especiales,
Expediente pantalla usuario,PF_CP_034,,"1.- Seleccionar el botón Usuarios, de la parte izquierda de la pantalla 2.- Seleccionar el boton de agregar usuario 3.- Click campo Apellidos",Validar que permita -35 caracteres maximo -1 caracter Minimo -No permite caracteres numericos y especiales,
Expediente pantalla usuario,PF_CP_035,,"1.- Seleccionar el botón Usuarios, de la parte izquierda de la pantalla 2.- Seleccionar el boton de agregar usuario 3.- Click campo Cargo",Validar que permita -35 caracteres maximo -1 caracter Minimo -No permite caracteres numericos y especiales,
Expediente pantalla usuario,PF_CP_036,,"1.- Seleccionar el botón Usuarios, de la parte izquierda de la pantalla 2.- Seleccionar el boton de agregar usuario 3.- Click Correo Electrónico",Validar que permita -Solo perimta el formato de correo Ejem: QA@QA.COM,
Expediente pantalla usuario,PF_CP_037,,"1.- Seleccionar el botón Usuarios, de la parte izquierda de la pantalla 2.- Seleccionar el boton de agregar usuario 3.- Click Teléfono Móvil",Validar que permita -Solo 10 numeros -Caracteres numericos -No permita caracteres alfabeticos y especiales,
Expediente pantalla usuario,PF_CP_038,,"1.- Seleccionar el botón Usuarios, de la parte izquierda de la pantalla 2.- Seleccionar el boton de agregar usuario 3.- Click Teléfono Fijo",Validar que permita -Solo 10 numeros -Caracteres numericos -No permita caracteres alfabeticos y especiales,
Expediente pantalla usuario,PF_CP_039,Validar la modificación de datos en detalles de usuario,1.- Seleccionar el ícono de un ojito (ver detalle) de algún usuario 2.- Presionar el botón Editar datos 3.- Editar información 4.- Presionar el botón Guardar,"Muestra un popup indicando: Usuario actualizado Se han actualizado los datos del usuario seleccionado con el botón ""X"" Se valida la información de la tabla actualizada",No Ejecutado
Expediente pantalla usuario,PF_CP_040,Validación del botón generar contraseña sobre el detalle de información de usuario,1.- Seleccionar el ícono de un ojito (ver detalle) de algún usuario 2.- Presionar el botón Generar contraseña,Muestra sobre la misma pantalla de detalle lo siguiente: Tu nueva contraseña es: Copiar contraseña Recuerda guardar tu contraseña en un lugar seguro.,No Ejecutado
Expediente pantalla usuario,PF_CP_041,Validación del boton de cancelar,1.- Seleccionar el ícono de un ojito (ver detalle) de algún usuario 2.- Presionar el botón Cancelar,Muestra la pantalla de Usuario,No Ejecutado
Expediente pantalla usuario,PF_CP_042,Validar botón Desactivar,1.- Seleccionar el ícono de persona con x (Desactivar) de algún usuario 2.- Click en el icono persona con x,Se mustra modal con lo siguirente: Se va a desactivar el usuario: Nombre usuario ¿Seguro que desea continuar? Botón Aceptar Botón Cancelar,No Ejecutado
Expediente pantalla usuario,PF_CP_043,Tap botón Aceptar,1.- Seleccionar el ícono de persona con x (Desactivar) de algún usuario 2.- Click en el icono persona con x 3.- Tap botón Aceptar,Validar que el estatus cambie a inactivo,No Ejecutado
Expediente pantalla usuario,PF_CP_044,Tap botón Cancelar,1.- Seleccionar el ícono de persona con x (Desactivar) de algún usuario 2.- Click en el icono persona con x 3.- Tap botón Cancelar,Validar que cierre el Modal y te mantenga en la pantalla usuarios,No Ejecutado
Expediente pantalla usuario,PF_CP_045,Validar botón Activar usuario,1.- Seleccionar el ícono de persona con x (Desactivar) de algún usuario 2.- Click en el icono persona con x 3.- Tap botón Aceptar 4.- Clic icono Ojo 5.- Tap botón Activar usuario,Validar que el estatus cambie a activo,No Ejecutado
Expediente pantalla catalogos,PF_CP_046,Validación de la pantalla del menú Catálogos,1.- Seleccionar el botón Catálogos que se encuentra de lado izquierdo de la pantalla,Muestra el título de catálogos con una lista desplegable en el cual contiene: -Nacionalidades -profesiones -campaña -código de país -productos -días festivos -versiones,No Ejecutado
Expediente pantalla Catálogos - Nacionalidades,PF_CP_047,Validación de la pantalla del menú Catálogos - Nacionalidades,1.- Seleccionar sobre la lista desplegable la opción Nacionalidades,"Muestra el botón de Agregar elemento, y la tabla de nacionalidades con su: -Descripción, -estatus, -detalle -inactivar",No Ejecutado
Expediente pantalla Catálogos - Nacionalidades,PF_CP_048,Validación del botón agregar elemento del menú de catálogos - nacionalidades,1.- Seleccionar el botón agregar elemento 2.- Agregar la descripción 3.- Presionar el botón Aceptar,Muestra la nacionalidad agregada en la tabla de nacionalidades,No Ejecutado
Expediente pantalla Catálogos - Nacionalidades,PF_CP_049,Validar Numero de caracteres,1.- Seleccionar el botón agregar elemento 2.- Agregar la descripción 3.- Presionar el botón Aceptar,Permite solo 100 caracteres Tipo alfanumericos y caracteres especiales,No Ejecutado
Expediente pantalla Catálogos - Nacionalidades,PF_CP_050,Validación del botón ver detalle del menú de catálogos - nacionalidades,1.- Seleccionar el botón ver con el ícono de un ojo,"Muestra la pantalla con la descripción, el botón editar datos y el botón ""X""",No Ejecutado
Expediente pantalla Catálogos - Nacionalidades,PF_CP_051,Validación de la edición de alguna nacionalidad sobre el detalle del menú de catálogos - nacionalidades,1.- Seleccionar el botón ver con el ícono de un ojo 2.- Seleccionar el botón Editar datos 3.- Editar la información 4.- Seleccionar el botón aceptar,Muestra la tabla de nacionalidades con la información editada,No Ejecutado
Expediente pantalla Catálogos - Nacionalidades,PF_CP_052,Validación de la funcinalidad del botón inactivar,1.- Seleccionar el botón inactivar 2.- Seleccionar el botón aceptar al mostrarse el popup: ¿Estas seguro de inactivar el elemento del catálogo?,Muestra la tabla de nacionalidades con la nacaionalidad inactiva,No Ejecutado
Expediente pantalla Catálogos - Nacionalidades,PF_CP_053,Validación de la funcinalidad del botón activar registro,1.- Seleccionar el botón detalle de la nacionalidad inactiva 2.- Presionar el botón Activar registrro,Muestra la tabla de nacionalidades con la nacaionalidad activa,No Ejecutado
Expediente pantalla Catálogos - Profesiones,PF_CP_054,Validación de la pantalla del menú Catálogos - Profesiones,1.- Seleccionar sobre la lista desplegable la opción Profesiones,"Muestra el botón de Agregar elemento, y la tabla de Profesiones con su: -Descripción, -estatus, -detalle -inactivar",No Ejecutado
Expediente pantalla Catálogos - Profesiones,PF_CP_055,Validación del botón agregar elemento del menú de catálogos - Profesiones,1.- Seleccionar el botón agregar elemento 2.- Agregar la descripción 3.- Presionar el botón Aceptar,Muestra la Profesion agregada en la tabla de Profesiones,No Ejecutado
Expediente pantalla Catálogos - Profesiones,PF_CP_056,Validar Numero de caracteres,1.- Seleccionar el botón agregar elemento 2.- Agregar la descripción 3.- Presionar el botón Aceptar,Permite solo 250 caracteres Tipo alfanumericos y caracteres especiales,No Ejecutado
Expediente pantalla Catálogos - Profesiones,PF_CP_057,Validación del botón ver detalle del menú de catálogos - Profesiones,1.- Seleccionar el botón ver con el ícono de un ojo,"Muestra la pantalla con la descripción, el botón editar datos y el botón ""X""",No Ejecutado
Expediente pantalla Catálogos - Profesiones,PF_CP_058,Validación de la edición de alguna Profesiones sobre el detalle del menú de catálogos - Profesiones,1.- Seleccionar el botón ver con el ícono de un ojo 2.- Seleccionar el botón Editar datos 3.- Editar la información 4.- Seleccionar el botón aceptar,Muestra la tabla de Profesiones con la información editada,No Ejecutado
Expediente pantalla Catálogos - Profesiones,PF_CP_059,Validación de la funcinalidad del botón inactivar,1.- Seleccionar el botón inactivar 2.- Seleccionar el botón aceptar al mostrarse el popup: ¿Estas seguro de inactivar el elemento del catálogo?,Muestra la tabla de Profesiones con la Profesion inactiva,No Ejecutado
Expediente pantalla Catálogos - Profesiones,PF_CP_060,Validación de la funcinalidad del botón activar registro,1.- Seleccionar el botón detalle de la Profesiones inactiva 2.- Presionar el botón Activar registrro,Muestra la tabla de Profesiones con la Profesion activa,No Ejecutado
Expediente pantalla Catálogos - Campaña,PF_CP_061,Validación de la pantalla del menú Catálogos - Campaña,1.- Seleccionar sobre la lista desplegable la opción Campaña,"Muestra el botón de Agregar elemento, y la tabla de Campañas con su: -Codigo, -promotor -estatus, -detalle -inactivar",No Ejecutado
Expediente pantalla Catálogos - Campaña,PF_CP_062,Validación del botón agregar elemento del menú de catálogos - Campaña,1.- Seleccionar el botón agregar elemento 2.- Agregar el codigo y el promotor 3.- Presionar el botón Aceptar,Muestra la Campaña agregada en la tabla de Campañas,No Ejecutado
Expediente pantalla Catálogos - Campaña,PF_CP_063,Validar Numero de caracteres campo Codigo,1.- Seleccionar el botón agregar elemento 2.- Agregar la descripción 3.- Presionar el botón Aceptar,Permite solo 250 caracteres (Permite mas de 250 caracteres) Tipo alfanumericos y caracteres especiales,No Ejecutado
Expediente pantalla Catálogos - Campaña,PF_CP_064,Validar Numero de caracteres campo promotor,1.- Seleccionar el botón agregar elemento 2.- Agregar la descripción 3.- Presionar el botón Aceptar,Permite solo 250 caracteres Tipo alfanumericos y caracteres especiales,No Ejecutado
Expediente pantalla Catálogos - Campaña,PF_CP_065,Validación del botón ver detalle del menú de catálogos - Campaña,1.- Seleccionar el botón ver con el ícono de un ojo,"Muestra la pantalla con el codigo, promotor, el botón editar datos y el botón ""X""",No Ejecutado
Expediente pantalla Catálogos - Campaña,PF_CP_066,Validación de la edición de alguna Campaña sobre el detalle del menú de catálogos - Campaña,1.- Seleccionar el botón ver con el ícono de un ojo 2.- Seleccionar el botón Editar datos 3.- Editar la información 4.- Seleccionar el botón aceptar,Muestra la tabla de Campañas con la información editada,No Ejecutado
Expediente pantalla Catálogos - Campaña,PF_CP_067,Validación de la funcinalidad del botón inactivar,1.- Seleccionar el botón inactivar 2.- Seleccionar el botón aceptar al mostrarse el popup: ¿Estas seguro de inactivar el elemento del catálogo?,Muestra la tabla de Campañas con la Campaña inactiva,No Ejecutado
Expediente pantalla Catálogos - Campaña,PF_CP_068,Validación de la funcinalidad del botón activar registro,1.- Seleccionar el botón detalle de la Campaña inactiva 2.- Presionar el botón Activar registrro,Muestra la tabla de Campañas con la Campaña activa,No Ejecutado
Expediente pantalla Catálogos - Codigo de pais,PF_CP_069,Validación de la pantalla del menú Catálogos - Codigo de pais,1.- Seleccionar sobre la lista desplegable la opción Codigo de pais,"Muestra el botón de Agregar elemento, y la tabla de codigo de pais con su: -Imagen, -Codigo -estatus, -detalle -inactivar",No Ejecutado
Expediente pantalla Catálogos - Codigo de pais,PF_CP_070,Validación del botón agregar elemento del menú de catálogos - Codigo de pais,1.- Seleccionar el botón agregar elemento 2.- Agregar el codigo y una imagen 3.- Presionar el botón Aceptar,Muestra la nacionalidad agregada en la tabla de Codigo de pais,No Ejecutado
Expediente pantalla Catálogos - Codigo de pais,PF_CP_071,Validar Numero de caracteres campo Codigo,1.- Seleccionar el botón agregar elemento 2.- Agregar la descripción 3.- Presionar el botón Aceptar,Permite solo 100 caracteres Tipo alfanumericos y +,No Ejecutado
Expediente pantalla Catálogos - Codigo de pais,PF_CP_072,Validación del botón ver detalle del menú de catálogos - Codigo de pais,1.- Seleccionar el botón ver con el ícono de un ojo,"Muestra la pantalla con la imagen, codigo, el botón editar datos y el botón ""X""",No Ejecutado
Expediente pantalla Catálogos - Codigo de pais,PF_CP_073,Validación de la edición de algun codigo de pais sobre el detalle del menú de catálogos - Codigo de pais,1.- Seleccionar el botón ver con el ícono de un ojo 2.- Seleccionar el botón Editar datos 3.- Editar la información 4.- Seleccionar el botón aceptar,Muestra la tabla de Codigo de pais con la información editada,No Ejecutado
Expediente pantalla Catálogos - Codigo de pais,PF_CP_074,Validación de la funcinalidad del botón inactivar,1.- Seleccionar el botón inactivar 2.- Seleccionar el botón aceptar al mostrarse el popup: ¿Estas seguro de inactivar el elemento del catálogo?,Muestra la tabla de Codigo de pais con el Codigo de pais inactiva,No Ejecutado
Expediente pantalla Catálogos - Codigo de pais,PF_CP_075,Validación de la funcinalidad del botón activar registro,1.- Seleccionar el botón detalle del Codigo de pais inactivo 2.- Presionar el botón Activar registrro,Muestra la tabla de Codigo de pais con el Codigo de pais activa,No Ejecutado
Expediente pantalla Catálogos - Productos,PF_CP_076,Validación de la pantalla del menú Catálogos - Productos,1.- Seleccionar sobre la lista desplegable la opción Productos,"Muestra el botón de Agregar elemento, y la tabla de productos con su: -Imagen, -nombre -codigo -link -estatus, -detalle -inactivar",No Ejecutado
Expediente pantalla Catálogos - Productos,PF_CP_077,Validación del botón agregar elemento del menú de catálogos - Productos,"1.- Seleccionar el botón agregar elemento 2.- Agregar la imagen, nombre, codigo, link 3.- Presionar el botón Aceptar",Muestra el Producto agregada en la tabla de Productos,No Ejecutado
Expediente pantalla Catálogos - Productos,PF_CP_078,Validar Numero de caracteres campo Nombre,1.- Seleccionar el botón agregar elemento 2.- Agregar la descripción 3.- Presionar el botón Aceptar,Permite solo 100 caracteres Tipo alfanumericos y caracteres especiales,No Ejecutado
Expediente pantalla Catálogos - Productos,PF_CP_079,Validar Numero de caracteres campo Codigo,1.- Seleccionar el botón agregar elemento 2.- Agregar la descripción 3.- Presionar el botón Aceptar,Permite solo 10 caracteres Tipo alfanumericos,No Ejecutado
Expediente pantalla Catálogos - Productos,PF_CP_080,Validar Numero de caracteres campo Link,1.- Seleccionar el botón agregar elemento 2.- Agregar la descripción 3.- Presionar el botón Aceptar,Permite solo 200 caracteres Tipo alfanumericos y caracteres especiales,No Ejecutado
Expediente pantalla Catálogos - Productos,PF_CP_081,Validación del botón ver detalle del menú de catálogos - Productos,1.- Seleccionar el botón ver con el ícono de un ojo,"Muestra la pantalla con la imagen, nombre, codigo, link, el botón editar datos y el botón ""X""",No Ejecutado
Expediente pantalla Catálogos - Productos,PF_CP_082,Validación de la edición de alguna Producto sobre el detalle del menú de catálogos - Productos,1.- Seleccionar el botón ver con el ícono de un ojo 2.- Seleccionar el botón Editar datos 3.- Editar la información 4.- Seleccionar el botón aceptar,Muestra la tabla de Productos con la información editada,No Ejecutado
Expediente pantalla Catálogos - Productos,PF_CP_083,Validación de la funcinalidad del botón inactivar,1.- Seleccionar el botón inactivar 2.- Seleccionar el botón aceptar al mostrarse el popup: ¿Estas seguro de inactivar el elemento del catálogo?,Muestra la tabla de Productos con el Producto inactiva,No Ejecutado
Expediente pantalla Catálogos - Productos,PF_CP_084,Validación de la funcinalidad del botón activar registro,1.- Seleccionar el botón detalle del Productos inactiva 2.- Presionar el botón Activar registrro,Muestra la tabla de Productos con el Producto activa,No Ejecutado
Expediente pantalla Catálogos - Dias festivos,PF_CP_085,Validación de la pantalla del menú Catálogos - Dias festivos,1.- Seleccionar sobre la lista desplegable la opción Dias festivos,"Muestra el botón de Agregar elemento, y la tabla de Dias festivos con su: -Dia festivo, -estatus, -detalle -inactivar",No Ejecutado
Expediente pantalla Catálogos - Dias festivos,PF_CP_086,Validación del botón agregar elemento del menú de catálogos - Dias festivos,1.- Seleccionar el botón agregar elemento 2.- Agregar el Dia festivo 3.- Presionar el botón Aceptar,Muestra la nacionalidad agregada en la tabla de Dias festivos,No Ejecutado
Expediente pantalla Catálogos - Dias festivos,PF_CP_087,Validar Numero de caracteres campo Fecha,1.- Seleccionar el botón agregar elemento 2.- Agregar la descripción 3.- Presionar el botón Aceptar,Permite solo 8 caracteres Tipo numerico,No Ejecutado
Expediente pantalla Catálogos - Dias festivos,PF_CP_088,Validar Botón calendario,1.- Seleccionar el botón agregar elemento 2.- Agregar la descripción 3.- Presionar el botón Calendario,Validar que permita seleccionar una fecha del calendario Solo estarán habilitadas las fechas desde hoy en adelante.,No Ejecutado
Expediente pantalla Catálogos - Dias festivos,PF_CP_089,Validación del botón ver detalle del menú de catálogos - Dias festivos,1.- Seleccionar el botón ver con el ícono de un ojo,"Muestra la pantalla con el dia festivo, el botón editar datos y el botón ""X""",No Ejecutado
Expediente pantalla Catálogos - Dias festivos,PF_CP_090,Validación de la edición de alguna nacionalidad sobre el detalle del menú de catálogos - Dias festivos,1.- Seleccionar el botón ver con el ícono de un ojo 2.- Seleccionar el botón Editar datos 3.- Editar la información 4.- Seleccionar el botón aceptar,Muestra la tabla de Dias festivos con la información editada,No Ejecutado
Expediente pantalla Catálogos - Dias festivos,PF_CP_091,Validación de la funcinalidad del botón inactivar,1.- Seleccionar el botón inactivar 2.- Seleccionar el botón aceptar al mostrarse el popup: ¿Estas seguro de inactivar el elemento del catálogo?,Muestra la tabla de Dias festivos con el dia festivo inactiva,No Ejecutado
Expediente pantalla Catálogos - Dias festivos,PF_CP_092,Validación de la funcinalidad del botón activar registro,1.- Seleccionar el botón detalle del Dias festivos inactiva 2.- Presionar el botón Activar registrro,Muestra la tabla de Dias festivos con el Dia festivo activa,No Ejecutado
Expediente pantalla Catálogos - Versiones,PF_CP_093,Validación de la pantalla del menú Catálogos - Versiones,1.- Seleccionar sobre la lista desplegable la opción Versiones,"Muestra el botón de Agregar elemento, y la tabla de Versiones con su: -Descripción, -Valor -estatus, -detalle -inactivar",No Ejecutado
Expediente pantalla Catálogos - Versiones,PF_CP_094,Validación del botón agregar elemento del menú de catálogos - Versiones,1.- Seleccionar el botón agregar elemento 2.- Agregar la descripción y el valor 3.- Presionar el botón Aceptar,Muestra la Version agregada en la tabla de Versiones,No Ejecutado
Expediente pantalla Catálogos - Versiones,PF_CP_095,Validar Numero de caracteres campo Fecha,1.- Seleccionar el botón agregar elemento 2.- Agregar la descripción 3.- Presionar el botón Aceptar,Permite solo 8 caracteres Tipo numerico,No Ejecutado
Expediente pantalla Catálogos - Versiones,PF_CP_096,Validar Botón calendario,1.- Seleccionar el botón agregar elemento 2.- Agregar la descripción 3.- Presionar el botón Calendario,Validar que permita seleccionar una fecha del calendario Solo estarán habilitadas las fechas desde hoy en adelante.,No Ejecutado
Expediente pantalla Catálogos - Versiones,PF_CP_097,Validación del botón ver detalle del menú de catálogos - Versiones,1.- Seleccionar el botón ver con el ícono de un ojo,"Muestra la pantalla con la descripción, valor, el botón editar datos y el botón ""X""",No Ejecutado
